track_key,song,artist,entry_date,exit_date,total_days,peak_position,album_type,total_tracks,is_explicit,duration_ms,avg_popularity,max_popularity,peak_date,days_to_peak,is_still_active,album_size_bucket
las babys || aitana,LAS BABYS,Aitana,2024-06-09,2024-08-29,82,4,single,1,False,153827,80.32926829268293,83,2024-06-11,2,False,Single (1)
thalía || cyril kamer,Thalía,Cyril Kamer,2025-03-15,2025-06-04,81,9,single,1,False,183428,73.67901234567901,77,2025-04-09,25,False,Single (1)
suano || ntg & amenazzy,Suano,NTG & Amenazzy,2025-05-16,2025-08-09,80,6,single,1,True,137264,73.7375,76,2025-06-02,17,False,Single (1)
los ángeles || aitana,Los Ángeles,Aitana,2024-05-18,2024-08-05,80,20,single,1,False,158483,82.7375,84,2024-05-18,0,False,Single (1)
se me olvida || maisak & feid,SE ME OLVIDA,Maisak & Feid,2025-08-24,2025-11-16,79,11,single,1,True,225373,83.37974683544304,87,2025-09-01,8,False,Single (1)
hey lil mama || eladio carrion,Hey Lil Mama,Eladio Carrion,2025-01-21,2025-04-13,78,8,album,17,False,216338,82.84615384615384,86,2025-01-25,4,False,Large Album (13+)
monaco || bad bunny,MONACO,Bad Bunny,2024-10-14,2025-01-12,78,1,album,22,True,267194,94.46153846153848,98,2024-10-14,0,False,Large Album (13+)
una bachata || lola indigo,UNA BACHATA,Lola Indigo,2025-02-04,2025-04-27,77,8,album,7,False,157846,74.06493506493507,77,2025-02-04,0,False,Album (6-12)
apaga el cel || floyymenor & lewis somes,APAGA EL CEL,FloyyMenor & Lewis Somes,2025-05-26,2025-08-09,75,7,single,1,True,184806,82.92,87,2025-06-12,17,False,Single (1)
no_se_ve.mp3 || emilia,No_Se_Ve.mp3,Emilia,2024-11-04,2025-02-09,75,32,album,13,False,203636,72.84,77,2024-11-05,1,False,Large Album (13+)
buscando money || twenty six & tayson kryss,Buscando Money,TWENTY SIX & Tayson Kryss,2025-02-02,2025-04-17,73,4,single,2,False,150000,77.86301369863014,87,2025-02-15,13,False,EP (2-5)
"japoni (feat. camin, moncho chavea, jthyago & samueliyo baby) || oscar el ruso & samuel g & omar montes","Japoni (feat. Camin, Moncho Chavea, Jthyago & Samueliyo Baby)",Oscar el Ruso & Samuel G & Omar Montes,2025-01-18,2025-06-17,72,26,single,1,False,248004,73.33333333333333,77,2025-02-25,38,False,Single (1)
rueda || rvfv,RUEDA,Rvfv,2025-06-02,2025-08-14,70,21,album,20,False,213120,63.3,67,2025-06-19,17,False,Large Album (13+)
offline || young miko,offline,Young Miko,2025-04-07,2025-06-15,69,16,album,16,False,201935,84.21739130434783,88,2025-04-09,2,False,Large Album (13+)
la marina sta morena || figa flawas,LA MARINA STA MORENA,Figa Flawas,2025-08-07,2025-10-15,69,19,single,1,False,131332,71.21739130434783,73,2025-09-04,28,False,Single (1)
tengo un plan || key-key,Tengo Un Plan,Key-Key,2025-04-04,2025-06-11,69,11,single,1,False,189282,77.8695652173913,81,2025-04-14,10,False,Single (1)
arranca (feat. omega) || becky g & omega,Arranca (feat. Omega),Becky G & Omega,2024-05-18,2024-07-25,69,38,single,1,False,166529,84.55072463768116,86,2024-05-18,0,False,Single (1)
la rizos [dime si le comento a la pura] || las 2k & chardo chardemio & melody records international,La Rizos [Dime Si Le Comento a la Pura],Las 2K & Chardo Chardemio & Melody Records International,2025-08-25,2025-11-06,69,22,single,1,False,218119,72.31884057971014,74,2025-09-15,21,False,Single (1)
duro de verdad pt.2 || los sufridos & bad gyal,Duro De Verdad pt.2,Los Sufridos & Bad Gyal,2025-09-21,2025-11-27,68,1,single,1,False,204303,74.97058823529412,77,2025-09-27,6,True,Single (1)
asi es la vida || enrique iglesias & maria becerra,ASI ES LA VIDA,Enrique Iglesias & Maria Becerra,2024-11-22,2025-03-23,67,38,single,1,False,172095,82.98507462686567,84,2025-01-31,70,False,Single (1)
pacto (feat. bryant myers & dei v) - remix || jay wheeler & anuel aa & hades66,Pacto (feat. Bryant Myers & Dei V) - Remix,Jay Wheeler & Anuel AA & Hades66,2024-07-29,2024-10-06,66,20,single,1,True,346000,80.43939393939394,84,2024-08-19,21,False,Single (1)
